coach_name,total_decisions,go_rate,dqs,odr,dqs_rank,odr_rank,seasons,archetype,go_rate_rank
Sean Payton,2012,0.1451292246520874,0.0083361747774857,0.6784294234592445,71,63,2006–2025,Aggressive + Accurate,63
Kyle Shanahan,1014,0.1449704142011834,0.0080698912085599,0.6893491124260355,57,48,2017–2025,Aggressive + Accurate,64
Joe Vitt,152,0.1447368421052631,0.0079549470966554,0.6907894736842105,50,47,2005–2012,Aggressive + Accurate,65
Ben McAdoo,244,0.1434426229508196,0.0082480844209478,0.6721311475409836,67,72,2016–2017,Aggressive + Accurate,66
Ron Rivera,1554,0.1428571428571428,0.0076861732749281,0.7001287001287001,37,37,2011–2023,Aggressive + Accurate,67
Mike Vrabel,828,0.1425120772946859,0.0073838493230445,0.7210144927536232,29,18,2018–2025,Aggressive + Accurate,68
Greg Schiano,261,0.1417624521072797,0.0081481903860032,0.6743295019157088,59,68,2012–2013,Aggressive + Accurate,69
Rod Marinelli,360,0.1416666666666666,0.0093731363321955,0.6305555555555555,124,136,2006–2008,Aggressive + Inaccurate,70
Matt Patricia,318,0.1415094339622641,0.0090455269807753,0.6446540880503144,110,117,2018–2020,Aggressive + Inaccurate,71
Tom Cable,375,0.1413333333333333,0.011065168198677,0.6186666666666667,164,146,2008–2010,Aggressive + Inaccurate,72
Scott Linehan,291,0.140893470790378,0.0078460051599415,0.6872852233676976,47,49,2006–2008,Aggressive + Accurate,73
Nathaniel Hackett,135,0.1407407407407407,0.0080038524149371,0.7481481481481481,54,5,2022–2022,Aggressive + Accurate,74
Anthony Lynn,434,0.140552995391705,0.0082211455595286,0.6912442396313364,66,45,2016–2020,Aggressive + Accurate,75
Dick Jauron,1160,0.1405172413793103,0.0097281459122023,0.6258620689655172,140,141,1999–2009,Aggressive + Inaccurate,76
Hue Jackson,445,0.1393258426966292,0.0078047742146921,0.6853932584269663,44,52,2011–2018,Aggressive + Accurate,77
Mike Martz,561,0.1390374331550802,0.006909784567522,0.679144385026738,18,60,2000–2005,Aggressive + Accurate,78
Mike Pettine,252,0.1388888888888889,0.0086955064674295,0.6865079365079365,89,51,2014–2015,Aggressive + Inaccurate,79
Bill O'Brien,838,0.1384248210023866,0.0083860653670316,0.6718377088305489,76,73,2014–2020,Aggressive + Accurate,80
