game_state_key,field_pos_bin,ydstogo_bin,score_diff_bin,time_bin,wpa_fg,wpa_go,wpa_punt,n_total,wrong_call_rate,pct_actual_go,pct_actual_punt,pct_actual_fg,optimal_decision
own_territory|short_1|down_big|late_4th,own_territory,short_1,down_big,late_4th,,0.0022616782480327003,,61,0.13114754098360656,0.8688524590163934,0.13114754098360656,0.0,go_for_it
own_territory|short_1|down_big|second_half,own_territory,short_1,down_big,second_half,,0.008179429620097843,-0.008759175767553095,205,0.6926829268292682,0.3073170731707317,0.6926829268292682,0.0,go_for_it
own_territory|short_1|down_big|two_min_drill,own_territory,short_1,down_big,two_min_drill,,0.00017424502086788715,,20,0.05,0.95,0.05,0.0,go_for_it
own_territory|short_1|down_close|4th_quarter,own_territory,short_1,down_close,4th_quarter,,,-0.03869825711956731,33,0.18181818181818182,0.18181818181818182,0.8181818181818182,0.0,punt
own_territory|short_1|down_close|early_game,own_territory,short_1,down_close,early_game,,-0.0015892074221656245,-0.02304781419186552,142,0.14788732394366197,0.14788732394366197,0.852112676056338,0.0,go_for_it
own_territory|short_1|down_close|late_4th,own_territory,short_1,down_close,late_4th,,0.0573441486090555,,18,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.0,go_for_it
own_territory|short_1|down_close|second_half,own_territory,short_1,down_close,second_half,,,-0.022946400980707465,63,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,punt
own_territory|short_1|down_close|two_min_drill,own_territory,short_1,down_close,two_min_drill,,0.02562841828767214,,15,0.0,1.0,0.0,0.0,go_for_it
own_territory|short_1|down_one_score|4th_quarter,own_territory,short_1,down_one_score,4th_quarter,,,-0.011360333809707215,43,0.18604651162790697,0.18604651162790697,0.813953488372093,0.0,punt
own_territory|short_1|down_one_score|early_game,own_territory,short_1,down_one_score,early_game,,0.026801810474009122,-0.008230752138197994,308,0.8798701298701299,0.12012987012987013,0.8798701298701299,0.0,go_for_it
own_territory|short_1|down_one_score|late_4th,own_territory,short_1,down_one_score,late_4th,,0.0430523091606025,,33,0.12121212121212122,0.8787878787878788,0.12121212121212122,0.0,go_for_it
own_territory|short_1|down_one_score|second_half,own_territory,short_1,down_one_score,second_half,,0.019637852286299082,-0.000825686708969236,126,0.8095238095238095,0.19047619047619047,0.8095238095238095,0.0,go_for_it
own_territory|short_1|down_one_score|two_min_drill,own_territory,short_1,down_one_score,two_min_drill,,-0.003941929666325469,,16,0.0,1.0,0.0,0.0,go_for_it
own_territory|short_1|tied|4th_quarter,own_territory,short_1,tied,4th_quarter,,,0.006020811289393665,52,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.0,punt
own_territory|short_1|tied|early_game,own_territory,short_1,tied,early_game,,0.0337688294881635,-0.0022249896140976223,582,0.9192439862542955,0.08075601374570447,0.9192439862542955,0.0,go_for_it
own_territory|short_1|tied|late_4th,own_territory,short_1,tied,late_4th,,,-0.0059356744117516685,19,0.2631578947368421,0.2631578947368421,0.7368421052631579,0.0,punt
own_territory|short_1|tied|second_half,own_territory,short_1,tied,second_half,,,0.00950797093220245,45,0.13333333333333333,0.13333333333333333,0.8666666666666667,0.0,punt
own_territory|short_1|tied|two_min_drill,own_territory,short_1,tied,two_min_drill,,,-0.052773245120382374,12,0.0,0.0,1.0,0.0,punt
own_territory|short_1|up_big|4th_quarter,own_territory,short_1,up_big,4th_quarter,,,-0.009847245764389759,91,0.02197802197802198,0.02197802197802198,0.978021978021978,0.0,punt
own_territory|short_1|up_big|early_game,own_territory,short_1,up_big,early_game,,,-0.01283811031239386,103,0.06796116504854369,0.06796116504854369,0.9320388349514563,0.0,punt
own_territory|short_1|up_big|late_4th,own_territory,short_1,up_big,late_4th,,,-0.008431289581853296,75,0.05333333333333334,0.05333333333333334,0.9466666666666667,0.0,punt
own_territory|short_1|up_big|second_half,own_territory,short_1,up_big,second_half,,0.008935379711064438,-0.0062676723062,126,0.9126984126984127,0.0873015873015873,0.9126984126984127,0.0,go_for_it
own_territory|short_1|up_big|two_min_drill,own_territory,short_1,up_big,two_min_drill,,,-0.0003258816136622069,18,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.0,punt
own_territory|short_1|up_close|4th_quarter,own_territory,short_1,up_close,4th_quarter,,,-0.021630432294762636,29,0.20689655172413793,0.20689655172413793,0.7931034482758621,0.0,punt
own_territory|short_1|up_close|early_game,own_territory,short_1,up_close,early_game,,,-0.020175285670405108,157,0.05732484076433121,0.05732484076433121,0.9426751592356688,0.0,punt
own_territory|short_1|up_close|late_4th,own_territory,short_1,up_close,late_4th,,,-0.04729786582968451,25,0.12,0.12,0.88,0.0,punt
own_territory|short_1|up_close|second_half,own_territory,short_1,up_close,second_half,,,-0.010146224797356976,87,0.05747126436781609,0.05747126436781609,0.9425287356321839,0.0,punt
own_territory|short_1|up_one_score|4th_quarter,own_territory,short_1,up_one_score,4th_quarter,,,-0.0017966522197974276,41,0.07317073170731707,0.07317073170731707,0.926829268292683,0.0,punt
own_territory|short_1|up_one_score|early_game,own_territory,short_1,up_one_score,early_game,,0.01754396657148997,-0.018074113956043494,146,0.8767123287671232,0.1232876712328767,0.8767123287671232,0.0,go_for_it
own_territory|short_1|up_one_score|late_4th,own_territory,short_1,up_one_score,late_4th,,,-0.0314861440071554,38,0.13157894736842105,0.13157894736842105,0.868421052631579,0.0,punt
own_territory|short_1|up_one_score|second_half,own_territory,short_1,up_one_score,second_half,,0.02785632610321046,-0.007815374718940261,84,0.8809523809523809,0.11904761904761904,0.8809523809523809,0.0,go_for_it
own_territory|short_1|up_one_score|two_min_drill,own_territory,short_1,up_one_score,two_min_drill,,,-0.055577390871587265,21,0.0,0.0,1.0,0.0,punt
own_territory|short_2_3|down_big|4th_quarter,own_territory,short_2_3,down_big,4th_quarter,,0.0048816768141799,-0.006520865362429169,156,0.782051282051282,0.21794871794871795,0.782051282051282,0.0,go_for_it
own_territory|short_2_3|down_big|early_game,own_territory,short_2_3,down_big,early_game,,0.008148081057394528,-0.004479705044879013,314,0.9426751592356688,0.05732484076433121,0.9426751592356688,0.0,go_for_it
