coach_name,season,n_decisions,go_rate,punt_rate,fg_rate,dqs,odr
Andy Reid,2022,105,0.09523809523809523,0.6,0.3047619047619048,0.006089513037871681,0.7523809523809524
Andy Reid,2023,136,0.16911764705882354,0.5294117647058824,0.3014705882352941,0.007757414598414771,0.7720588235294118
Andy Reid,2024,128,0.15625,0.5625,0.28125,0.00565710819922922,0.7265625
Andy Reid,2025,120,0.24166666666666667,0.4666666666666667,0.2916666666666667,0.0068169976585288755,0.7916666666666666
Anthony Lynn,2017,110,0.09090909090909091,0.6727272727272727,0.23636363636363636,0.011847705921422617,0.6636363636363637
Anthony Lynn,2018,111,0.09009009009009009,0.6486486486486487,0.26126126126126126,0.007415250779264478,0.6756756756756757
Anthony Lynn,2019,93,0.17204301075268819,0.5161290322580645,0.3118279569892473,0.008877025138557438,0.6451612903225806
Anthony Lynn,2020,112,0.21428571428571427,0.5357142857142857,0.25,0.005042665822953091,0.7857142857142857
Antonio Pierce,2023,74,0.13513513513513514,0.6486486486486487,0.21621621621621623,0.006255898970946369,0.7297297297297297
Antonio Pierce,2024,128,0.1953125,0.5234375,0.28125,0.007942601871052429,0.7109375
Arthur Smith,2021,115,0.20869565217391303,0.5739130434782609,0.21739130434782608,0.0065853585641025185,0.6956521739130435
Arthur Smith,2022,107,0.14018691588785046,0.5794392523364486,0.2803738317757009,0.008186032674862507,0.6915887850467289
Arthur Smith,2023,127,0.14960629921259844,0.5905511811023622,0.25984251968503935,0.0064272691618341435,0.7007874015748031
Ben Johnson,2025,140,0.2642857142857143,0.44285714285714284,0.29285714285714287,0.007778579256186042,0.7428571428571429
Ben McAdoo,2016,142,0.14084507042253522,0.6971830985915493,0.1619718309859155,0.009656385862051866,0.6408450704225352
Ben McAdoo,2017,102,0.14705882352941177,0.6862745098039216,0.16666666666666666,0.006287507904901037,0.7156862745098039
Bill Belichick,2000,141,0.1702127659574468,0.6312056737588653,0.19858156028368795,0.00823383805677391,0.6524822695035462
Bill Belichick,2001,145,0.12413793103448276,0.6689655172413793,0.20689655172413793,0.007469934431816157,0.6689655172413793
Bill Belichick,2002,117,0.1623931623931624,0.6068376068376068,0.23076923076923078,0.010699363619822313,0.5641025641025641
Bill Belichick,2003,153,0.10457516339869281,0.6405228758169934,0.2549019607843137,0.008863080835956529,0.673202614379085
Bill Belichick,2004,114,0.07017543859649122,0.6140350877192983,0.3157894736842105,0.007540680978671913,0.6578947368421053
Bill Belichick,2005,128,0.1484375,0.6640625,0.1875,0.00935133541262387,0.734375
Bill Belichick,2006,138,0.15942028985507245,0.6014492753623188,0.2391304347826087,0.0076506639440359825,0.6811594202898551
Bill Belichick,2007,103,0.22330097087378642,0.5242718446601942,0.2524271844660194,0.006288971727111621,0.6893203883495146
Bill Belichick,2008,106,0.18867924528301888,0.4528301886792453,0.3584905660377358,0.009230236853823745,0.6509433962264151
Bill Belichick,2009,115,0.19130434782608696,0.5304347826086957,0.2782608695652174,0.0073672460888398765,0.6956521739130435
Bill Belichick,2010,98,0.1326530612244898,0.6326530612244898,0.23469387755102042,0.004528442416578163,0.7653061224489796
Bill Belichick,2011,108,0.10185185185185185,0.5833333333333334,0.3148148148148148,0.007258069073241925,0.6851851851851852
Bill Belichick,2012,119,0.1092436974789916,0.5966386554621849,0.29411764705882354,0.00837965460093551,0.6638655462184874
Bill Belichick,2013,139,0.1079136690647482,0.6115107913669064,0.2805755395683453,0.00891782012015726,0.6618705035971223
Bill Belichick,2014,129,0.10852713178294573,0.6124031007751938,0.27906976744186046,0.007688382070116246,0.6589147286821705
Bill Belichick,2015,138,0.13043478260869565,0.6014492753623188,0.26811594202898553,0.0059517667280324996,0.7028985507246377
Bill Belichick,2016,130,0.08461538461538462,0.6461538461538462,0.2692307692307692,0.007196185163325733,0.6461538461538462
Bill Belichick,2017,124,0.12903225806451613,0.5403225806451613,0.33064516129032256,0.009222205057543422,0.6532258064516129
Bill Belichick,2018,128,0.140625,0.578125,0.28125,0.005748934631847482,0.6953125
Bill Belichick,2019,135,0.1037037037037037,0.6296296296296297,0.26666666666666666,0.009959045384448325,0.674074074074074
Bill Belichick,2020,97,0.17525773195876287,0.5567010309278351,0.26804123711340205,0.0076371969448959425,0.6391752577319587
Bill Belichick,2021,112,0.17857142857142858,0.49107142857142855,0.33035714285714285,0.006585483426678458,0.6785714285714286
Bill Belichick,2022,124,0.0967741935483871,0.6370967741935484,0.2661290322580645,0.009915619004206467,0.6693548387096774
Bill Belichick,2023,144,0.1736111111111111,0.6597222222222222,0.16666666666666666,0.006941541675818783,0.7152777777777778
Bill Callahan,2019,80,0.075,0.65,0.275,0.007299908965410068,0.6625
Bill Cowher,1999,132,0.17424242424242425,0.6363636363636364,0.1893939393939394,0.009525003987067461,0.6212121212121212
Bill Cowher,2000,126,0.07142857142857142,0.6984126984126984,0.23015873015873015,0.011737852756588722,0.6349206349206349
Bill Cowher,2001,132,0.09090909090909091,0.5606060606060606,0.3484848484848485,0.008914075921311337,0.6590909090909091
