coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
Dan Reeves,589,0.008469042208377197,0.6383701188455009,0.100169779286927,0.6502546689303905,0.2495755517826825,0.4217875803490135,1999–2003,78,126
Jason Garrett,1038,0.008515252070696535,0.684971098265896,0.11946050096339114,0.6021194605009634,0.27842003853564545,0.4889146470682232,2010–2019,79,54
Chan Gailey,475,0.00856469322704717,0.6505263157894737,0.14526315789473684,0.6526315789473685,0.20210526315789473,0.4706128860391392,1999–2012,80,111
Vic Fangio,358,0.008592009538170292,0.6229050279329609,0.15363128491620112,0.5865921787709497,0.25977653631284914,0.42519728498144865,2019–2021,81,144
David Culley,132,0.008626756916174124,0.6590909090909091,0.15151515151515152,0.6666666666666666,0.18181818181818182,0.4043043701198478,2021–2021,82,98
Dave Wannstedt,553,0.008631310511088059,0.6455696202531646,0.09945750452079566,0.6835443037974683,0.21699819168173598,0.5277638967491644,2000–2004,83,114
Jim Caldwell,814,0.008633206316765552,0.6560196560196561,0.10319410319410319,0.6474201474201474,0.2493857493857494,0.47976096130917767,2009–2017,84,103
Marvin Lewis,1913,0.008633729518727588,0.6664924202822792,0.1097752221641401,0.6591740721380032,0.23105070569785677,0.49088707131974346,2003–2018,85,80
Bruce Coslet,160,0.00863387348022773,0.63125,0.1875,0.63125,0.18125,0.29331369252454353,1999–2000,86,135
Raheem Morris,674,0.008671641897042486,0.6617210682492581,0.18397626112759644,0.5578635014836796,0.258160237388724,0.41478512533956857,2009–2025,87,89
Chip Kelly,511,0.008690122339840844,0.6829745596868885,0.11937377690802348,0.6810176125244618,0.19960861056751467,0.4540409246688589,2013–2016,88,57
Mike Pettine,252,0.008695506467429597,0.6865079365079365,0.1388888888888889,0.6468253968253969,0.21428571428571427,0.4157094115672653,2014–2015,89,51
Mike Tomlin,2290,0.008718134980068255,0.6781659388646288,0.11921397379912664,0.6152838427947598,0.26550218340611353,0.5029499851652662,2007–2025,90,64
Steve Spagnuolo,474,0.008747206979662386,0.6455696202531646,0.14767932489451477,0.6582278481012658,0.1940928270042194,0.37020557520468617,2009–2017,91,114
Mike Tice,441,0.00875505718604542,0.6575963718820862,0.1360544217687075,0.6303854875283447,0.23356009070294784,0.4912498783811654,2001–2005,92,100
Joe Philbin,514,0.008786801970407087,0.6517509727626459,0.13813229571984437,0.6381322957198443,0.2237354085603113,0.4173951678729609,2012–2018,93,109
Mike McCoy,432,0.008794220795103001,0.6851851851851852,0.09259259259259259,0.6296296296296297,0.2777777777777778,0.4893719274716882,2013–2016,94,53
Dave Canales,251,0.008802429297009645,0.6932270916334662,0.2788844621513944,0.5219123505976095,0.199203187250996,0.3650341783251034,2024–2025,95,42
Jeff Fisher,2162,0.008853297708890626,0.6581868640148011,0.12719703977798336,0.6540240518038853,0.21877890841813136,0.48367761758061667,1999–2016,96,99
Nick Saban,266,0.008855192682792102,0.6390977443609023,0.10902255639097744,0.650375939849624,0.24060150375939848,0.42177319511759387,2005–2006,97,124
Bill Parcells,616,0.00886203594276485,0.6542207792207793,0.137987012987013,0.6493506493506493,0.21266233766233766,0.5025913261017196,1999–2006,98,106
Dirk Koetter,303,0.008893482780788772,0.6765676567656765,0.09570957095709572,0.6336633663366337,0.2706270627062706,0.43768643102658183,2016–2018,99,65
Bruce Arians,967,0.008904781444127817,0.6608066184074457,0.10548086866597725,0.6308169596690796,0.26370217166494314,0.5000111356129392,2013–2021,100,92
Leslie Frazier,411,0.008911589113647837,0.635036496350365,0.12165450121654502,0.6472019464720195,0.23114355231143552,0.4637059194932968,2010–2013,101,130
Bill Cowher,1023,0.008934667398349468,0.6656891495601173,0.13098729227761485,0.6177908113391984,0.2512218963831867,0.5401760560453276,1999–2006,102,81
Brad Childress,571,0.008959331845551135,0.6427320490367776,0.13485113835376533,0.6619964973730298,0.2031523642732049,0.48991522574202395,2006–2010,103,119
John Fox,2013,0.008977441031296437,0.65424739195231,0.09786388474913064,0.6780923994038748,0.22404371584699453,0.4779768649823678,2002–2017,104,105
Ken Whisenhunt,1030,0.009005400469235801,0.6300970873786408,0.12330097087378641,0.7019417475728156,0.17475728155339806,0.4184557324516853,2007–2015,105,137
Mike Zimmer,948,0.009008761171019942,0.6571729957805907,0.13291139240506328,0.609704641350211,0.25738396624472576,0.5055944403537742,2014–2021,106,101
Marc Trestman,218,0.009020500110842173,0.6559633027522935,0.1834862385321101,0.6467889908256881,0.16972477064220184,0.3986740631572928,2013–2014,107,104
Jim Haslett,814,0.009023064837762614,0.6609336609336609,0.13636363636363635,0.6253071253071253,0.23832923832923833,0.431801959898534,2000–2008,108,91
Jim Mora,816,0.009041895793296877,0.6372549019607843,0.1213235294117647,0.6482843137254902,0.23039215686274508,0.4737320007099958,1999–2009,109,127
Matt Patricia,318,0.009045526980775317,0.6446540880503144,0.14150943396226415,0.6037735849056604,0.25471698113207547,0.45634160908202454,2018–2020,110,117
Rex Ryan,1034,0.009054563617536438,0.6721470019342359,0.10735009671179883,0.6653771760154739,0.22727272727272727,0.4593913086312787,2009–2016,111,71
