coach_name,total_decisions,dqs,odr,go_rate,punt_rate,fg_rate,mean_wp,seasons,dqs_rank,odr_rank
Mike Holmgren,1258,0.00971011360926146,0.6430842607313195,0.10015898251192369,0.6701112877583466,0.22972972972972974,0.5129891088723963,1999–2008,138,118
Terry Robiskie,133,0.009718422800255073,0.5864661654135338,0.09022556390977443,0.6616541353383458,0.24812030075187969,0.4822533963253976,2000–2004,139,163
Dick Jauron,1160,0.009728145912202332,0.6258620689655172,0.14051724137931035,0.6448275862068965,0.21465517241379312,0.4338187107992369,1999–2009,140,141
Mike Riley,379,0.009764863552360647,0.6649076517150396,0.079155672823219,0.6649076517150396,0.2559366754617414,0.4471169955128124,1999–2001,141,83
Eric Mangini,578,0.00980958728519767,0.610726643598616,0.12283737024221453,0.6505190311418685,0.22664359861591696,0.45398279508152445,2006–2010,142,154
Brian Billick,1243,0.009814068308619821,0.6315366049879324,0.0917135961383749,0.6773934030571199,0.23089300080450523,0.516273607970313,1999–2007,143,134
Wade Phillips,702,0.009896735701449791,0.6296296296296297,0.12108262108262108,0.6581196581196581,0.2207977207977208,0.485588133949426,1999–2013,144,139
Mike Nolan,448,0.00991143535947858,0.6294642857142857,0.09151785714285714,0.7075892857142857,0.20089285714285715,0.3560281570540801,2005–2008,145,140
Dom Capers,511,0.00991926668132475,0.6125244618395304,0.11350293542074363,0.7045009784735812,0.18199608610567514,0.38160736237388276,2002–2005,146,152
Brian Callahan,265,0.00998647276417828,0.6339622641509434,0.21509433962264152,0.5773584905660377,0.20754716981132076,0.32534915036751727,2024–2025,147,131
Butch Davis,466,0.010005786877055096,0.6137339055793991,0.0944206008583691,0.6888412017167382,0.2167381974248927,0.4605116861553641,2001–2004,148,151
Gary Moeller,74,0.010031894581513325,0.5540540540540541,0.12162162162162163,0.7162162162162162,0.16216216216216217,0.3614905914480522,2000–2000,149,166
Bobby Ross,201,0.010062161139598822,0.6517412935323383,0.1044776119402985,0.6716417910447762,0.22388059701492538,0.5097212614291765,1999–2000,150,110
Jimmy Johnson,158,0.010084344341270113,0.6708860759493671,0.10126582278481013,0.620253164556962,0.27848101265822783,0.4149787224795765,1999–1999,151,76
Steve Mariucci,819,0.010155389952697323,0.6227106227106227,0.1514041514041514,0.6507936507936508,0.1978021978021978,0.44079791672177093,1999–2005,152,145
Marty Mornhinweg,261,0.010294507944673658,0.6245210727969349,0.16475095785440613,0.6283524904214559,0.20689655172413793,0.35777772104167804,2001–2002,153,143
Jim Fassel,656,0.010303530207256965,0.6173780487804879,0.11432926829268293,0.6737804878048781,0.21189024390243902,0.4701243440630079,1999–2003,154,149
Romeo Crennel,696,0.010357206676987817,0.6020114942528736,0.125,0.6307471264367817,0.2442528735632184,0.40716811037906864,2005–2020,155,158
Jim Bates,60,0.010507116104036658,0.7333333333333333,0.05,0.8,0.15,0.45771263229350256,2004–2004,156,10
Chris Palmer,267,0.010525665822799703,0.5655430711610487,0.1198501872659176,0.7790262172284644,0.10112359550561797,0.3091686301234673,1999–2000,157,165
Jim Zorn,245,0.010567514513668408,0.6040816326530613,0.1469387755102041,0.6285714285714286,0.22448979591836735,0.4124064929997466,2008–2009,158,157
Vance Joseph,255,0.010604346433993814,0.6470588235294118,0.16862745098039217,0.6313725490196078,0.2,0.3709046412436674,2017–2018,159,113
Al Groh,128,0.010789952902377047,0.640625,0.1328125,0.640625,0.2265625,0.4785969232227668,2000–2000,160,123
Dave Campo,375,0.010795136163366305,0.6186666666666667,0.112,0.6853333333333333,0.20266666666666666,0.40136828159354626,2000–2002,161,146
Perry Fewell,54,0.010986555889635067,0.5740740740740741,0.09259259259259259,0.6296296296296297,0.2777777777777778,0.44111434332336547,2009–2009,162,164
Dennis Erickson,248,0.011026632172769642,0.5887096774193549,0.13709677419354838,0.6612903225806451,0.20161290322580644,0.4022183265875473,2003–2004,163,162
Tom Cable,375,0.011065168198677061,0.6186666666666667,0.14133333333333334,0.648,0.21066666666666667,0.35677508994413565,2008–2010,164,146
Art Shell,123,0.011178313511669322,0.6178861788617886,0.17073170731707318,0.6260162601626016,0.2032520325203252,0.35947617439920376,2006–2006,165,148
Ray Rhodes,117,0.012272380466687962,0.5897435897435898,0.06837606837606838,0.6837606837606838,0.24786324786324787,0.45736337108557457,1999–1999,166,161
Cam Cameron,120,0.0128535756123142,0.6,0.16666666666666666,0.6416666666666667,0.19166666666666668,0.2880072904547281,2007–2007,167,159
